Event,Elevation [m],Longitude,Latitude,Depth water [m],Symbiosis,Spinose,export_n_m2_d,export_mmolC_m2_d,prop
MIR97_50N-1_trap,-5546,165.01667,50.016667,3260,NA,NA,0,0,0
MIR97_KNOT-1_trap,-5375,155.05,43.966667,2957,No,No,1156.4,0.08142983333333334,0.7475113122171945
MIR97_KNOT-1_trap,-5375,155.05,43.966667,2957,No,Yes,383.95,0.027036479166666665,0.24819004524886873
MIR97_KNOT-1_trap,-5375,155.05,43.966667,2957,Undetermined,Undetermined,0,0,0
MIR97_KNOT-1_trap,-5375,155.05,43.966667,2957,Yes,No,0,0,0
MIR97_KNOT-1_trap,-5375,155.05,43.966667,2957,Yes,Yes,6.65,4.6827083333333334e-4,0.004298642533936651
MIR97_KNOT-1_trap,-5375,155.05,43.966667,2957,NA,NA,0,0,0
MW_trap,-2830,-127.58,42.19,1000,No,No,44,0.003098333333333333,0.6125290023201857
MW_trap,-2830,-127.58,42.19,1000,No,Yes,23,0.0016195833333333333,0.32018561484918795
MW_trap,-2830,-127.58,42.19,1000,Undetermined,Undetermined,0,0,0
MW_trap,-2830,-127.58,42.19,1000,Yes,No,0,0,0
MW_trap,-2830,-127.58,42.19,1000,Yes,Yes,4.833333333333334,3.4034722222222224e-4,0.06728538283062646
MW_trap,-2830,-127.58,42.19,1000,NA,NA,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,967,No,No,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,967,No,Yes,46.92307692307692,0.0033041666666666666,0.26349892008639303
NBBTn-88/89_trap,-2265,89.6,17.45,967,Undetermined,Undetermined,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,967,Yes,No,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,967,Yes,Yes,131.15384615384616,0.009235416666666668,0.7365010799136069
NBBTn-88/89_trap,-2265,89.6,17.45,967,NA,NA,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,1498,No,No,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,1498,No,Yes,31.230769230769234,0.002199166666666667,0.19882468168462294
NBBTn-88/89_trap,-2265,89.6,17.45,1498,Undetermined,Undetermined,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,1498,Yes,No,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,1498,Yes,Yes,125.84615384615384,0.008861666666666667,0.8011753183153771
NBBTn-88/89_trap,-2265,89.6,17.45,1498,NA,NA,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,2029,No,No,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,2029,No,Yes,35,0.0024645833333333334,0.215742057847321
NBBTn-88/89_trap,-2265,89.6,17.45,2029,Undetermined,Undetermined,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,2029,Yes,No,0,0,0
NBBTn-88/89_trap,-2265,89.6,17.45,2029,Yes,Yes,127.23076923076923,0.008959166666666666,0.784257942152679
NBBTn-88/89_trap,-2265,89.6,17.45,2029,NA,NA,0,0,0
NCR_trap,-1500,178.63,-42.7,300,No,No,421.5,0.029680625,0.5725540802119061
NCR_trap,-1500,178.63,-42.7,300,No,Yes,306.825,0.02160559375,0.41678269433219
NCR_trap,-1500,178.63,-42.7,300,Undetermined,Undetermined,0,0,0
NCR_trap,-1500,178.63,-42.7,300,Yes,No,0,0,0
NCR_trap,-1500,178.63,-42.7,300,Yes,Yes,7.85,5.527708333333333e-4,0.010663225455903825
NCR_trap,-1500,178.63,-42.7,300,NA,NA,0,0,0
NCR_trap,-1500,178.63,-42.7,1000,No,No,355.79523809523806,0.02505391468253968,0.5325972285583941
NCR_trap,-1500,178.63,-42.7,1000,No,Yes,302.31428571428575,0.02128796428571429,0.4525404881386862
NCR_trap,-1500,178.63,-42.7,1000,Undetermined,Undetermined,0,0,0
NCR_trap,-1500,178.63,-42.7,1000,Yes,No,0,0,0
NCR_trap,-1500,178.63,-42.7,1000,Yes,Yes,9.928571428571427,6.991369047619047e-4,0.014862283302919705
NCR_trap,-1500,178.63,-42.7,1000,NA,NA,0,0,0
NS_trap,-2829,-125.77,42.09,1000,No,No,225,0.01584375,0.7936507936507936
NS_trap,-2829,-125.77,42.09,1000,No,Yes,52.66666666666667,0.0037086111111111113,0.18577307466196358
NS_trap,-2829,-125.77,42.09,1000,Undetermined,Undetermined,0,0,0
NS_trap,-2829,-125.77,42.09,1000,Yes,No,0,0,0
NS_trap,-2829,-125.77,42.09,1000,Yes,Yes,5.833333333333334,4.1076388888888895e-4,0.020576131687242802
NS_trap,-2829,-125.77,42.09,1000,NA,NA,0,0,0
OSP_trap,-4240,-145,50,3800,No,No,846.9583333333333,0.05963998263888888,0.8896102001517184
OSP_trap,-4240,-145,50,3800,No,Yes,105.09722222222226,0.007400596064814817,0.11038979984828154
OSP_trap,-4240,-145,50,3800,Undetermined,Undetermined,0,0,0
OSP_trap,-4240,-145,50,3800,Yes,No,0,0,0
OSP_trap,-4240,-145,50,3800,Yes,Yes,0,0,0
OSP_trap,-4240,-145,50,3800,NA,NA,0,0,0
Sargasso_trap,-4200,-64.25,32.083,3200,No,No,0,0,0
Sargasso_trap,-4200,-64.25,32.083,3200,No,Yes,100.3206896551724,0.00706424856321839,0.48241497670253863
Sargasso_trap,-4200,-64.25,32.083,3200,Undetermined,Undetermined,0,0,0
Sargasso_trap,-4200,-64.25,32.083,3200,Yes,No,0,0,0
Sargasso_trap,-4200,-64.25,32.083,3200,Yes,Yes,107.63448275862069,0.007579261494252873,0.5175850232974614
Sargasso_trap,-4200,-64.25,32.083,3200,NA,NA,0,0,0
SAST_trap,-4075,67.12,13.13,1654,No,No,0,0,0
SAST_trap,-4075,67.12,13.13,1654,No,Yes,226.10000000000002,0.015921208333333336,1
SAST_trap,-4075,67.12,13.13,1654,Undetermined,Undetermined,0,0,0
SAST_trap,-4075,67.12,13.13,1654,Yes,No,0,0,0
SAST_trap,-4075,67.12,13.13,1654,Yes,Yes,0,0,0
SAST_trap,-4075,67.12,13.13,1654,NA,NA,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,1060,No,No,329.1857142857143,0.023180160714285716,0.6777286497191205
SAZ_47_trap,-4540,142.07,-46.76,1060,No,Yes,156.53333333333333,0.011022555555555555,0.3222713502808796
SAZ_47_trap,-4540,142.07,-46.76,1060,Undetermined,Undetermined,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,1060,Yes,No,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,1060,Yes,Yes,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,1060,NA,NA,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,3850,No,No,293.81951219512194,0.020689790650406503,0.6545997935119274
SAZ_47_trap,-4540,142.07,-46.76,3850,No,Yes,154.97560975609755,0.010912865853658535,0.34526979296853777
SAZ_47_trap,-4540,142.07,-46.76,3850,Undetermined,Undetermined,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,3850,Yes,No,0,0,0
SAZ_47_trap,-4540,142.07,-46.76,3850,Yes,Yes,0.05853658536585363,4.121951219512193e-6,1.304135195348584e-4
SAZ_47_trap,-4540,142.07,-46.76,3850,NA,NA,0,0,0
SAZ_51_trap,-3780,141.74,-51,3080,No,No,729.1904761904763,0.051347162698412704,0.2920622689803283
SAZ_51_trap,-3780,141.74,-51,3080,No,Yes,1767.504761904762,0.12446179365079366,0.7079377310196717
SAZ_51_trap,-3780,141.74,-51,3080,Undetermined,Undetermined,0,0,0
SAZ_51_trap,-3780,141.74,-51,3080,Yes,No,0,0,0
SAZ_51_trap,-3780,141.74,-51,3080,Yes,Yes,0,0,0
SAZ_51_trap,-3780,141.74,-51,3080,NA,NA,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,830,No,No,1940.131818181818,0.13661761553030302,0.9054996669311417
SAZ_54_trap,-2280,141.76,-53.75,830,No,Yes,202.47727272727272,0.01425777462121212,0.09450033306885827
SAZ_54_trap,-2280,141.76,-53.75,830,Undetermined,Undetermined,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,830,Yes,No,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,830,Yes,Yes,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,830,NA,NA,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,1580,No,No,730.38,0.051430925,0.8787636333010486
SAZ_54_trap,-2280,141.76,-53.75,1580,No,Yes,100.765,0.0070955354166666665,0.12123636669895145
SAZ_54_trap,-2280,141.76,-53.75,1580,Undetermined,Undetermined,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,1580,Yes,No,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,1580,Yes,Yes,0,0,0
SAZ_54_trap,-2280,141.76,-53.75,1580,NA,NA,0,0,0
SBBT-06_trap,-3997,87.4,4.1,1518,No,No,0,0,0
SBBT-06_trap,-3997,87.4,4.1,1518,No,Yes,121.92307692307692,0.008585416666666667,1
SBBT-06_trap,-3997,87.4,4.1,1518,Undetermined,Undetermined,0,0,0
SBBT-06_trap,-3997,87.4,4.1,1518,Yes,No,0,0,0
SBBT-06_trap,-3997,87.4,4.1,1518,Yes,Yes,0,0,0
SBBT-06_trap,-3997,87.4,4.1,1518,NA,NA,0,0,0
SCR_trap,-1500,178.62,-44.62,300,No,No,65.8125,0.004634296875,0.03138917207705103
SCR_trap,-1500,178.62,-44.62,300,No,Yes,2030.85,0.1430056875,0.968610827922949
SCR_trap,-1500,178.62,-44.62,300,Undetermined,Undetermined,0,0,0
SCR_trap,-1500,178.62,-44.62,300,Yes,No,0,0,0
