Literature,Cruise/Station,Latitude,Longitude,Mesh size (µm),Test size (µm),Depth (m),Spinose,Symbiosis,abundance_m3,biomass_Frail_mmol_m3,biomass_Schiebel_mmol_m3,prop
"Rebotim et al., 2017",Ib-F2,42.09,-9.6,100,>100,200,Yes,Yes,10.92,2.908645705081089e-4,7.6895e-4,0.561439588688946
"Rebotim et al., 2017",Ib-F6,38.76,-9.98,100,>100,140,No,No,6.29,1.6754012348864516e-4,4.4292083333333335e-4,0.06909050966608085
"Rebotim et al., 2017",Ib-F6,38.76,-9.98,100,>100,140,No,Yes,6.12,1.630120120430061e-4,4.3095e-4,0.0672231985940246
"Rebotim et al., 2017",Ib-F6,38.76,-9.98,100,>100,140,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F6,38.76,-9.98,100,>100,140,Yes,No,0,0,0,0
"Rebotim et al., 2017",Ib-F6,38.76,-9.98,100,>100,140,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F6,38.76,-9.98,100,>100,140,Yes,Yes,78.63,0.0020943847233564654,0.0055368625,0.8636862917398945
"Rebotim et al., 2017",Ib-F8,36.8,-8.04,100,>100,120,No,No,1.67,4.448203596598369e-5,1.1759583333333333e-4,0.09976105137395458
"Rebotim et al., 2017",Ib-F8,36.8,-8.04,100,>100,120,No,Yes,0.7399999999999999,1.9710602763370015e-5,5.2108333333333324e-5,0.044205495818399033
"Rebotim et al., 2017",Ib-F8,36.8,-8.04,100,>100,120,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F8,36.8,-8.04,100,>100,120,Yes,No,0.8,2.1308759744183804e-5,5.633333333333334e-5,0.04778972520908004
"Rebotim et al., 2017",Ib-F8,36.8,-8.04,100,>100,120,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F8,36.8,-8.04,100,>100,120,Yes,Yes,13.530000000000001,3.6038439917350864e-4,9.527375000000001e-4,0.8082437275985663
"Rebotim et al., 2017",Ib-F9,36.81,-7.71,100,>100,90,No,No,0.18,4.794470942441356e-6,1.2675e-5,0.04639175257731959
"Rebotim et al., 2017",Ib-F9,36.81,-7.71,100,>100,90,No,Yes,0.45,1.198617735610339e-5,3.16875e-5,0.11597938144329897
"Rebotim et al., 2017",Ib-F9,36.81,-7.71,100,>100,90,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F9,36.81,-7.71,100,>100,90,Yes,No,0,0,0,0
"Rebotim et al., 2017",Ib-F9,36.81,-7.71,100,>100,90,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F9,36.81,-7.71,100,>100,90,Yes,Yes,3.25,8.656683646074671e-5,2.2885416666666668e-4,0.8376288659793815
"Rebotim et al., 2017",M42/1-EBC,28.83333,-13.16667,100,>125,150,No,No,1.8,4.794470942441356e-5,1.2675e-4,0.08522727272727272
"Rebotim et al., 2017",M42/1-EBC,28.83333,-13.16667,100,>125,150,No,Yes,2.08,5.5402775334877893e-5,1.4646666666666666e-4,0.09848484848484848
"Rebotim et al., 2017",M42/1-EBC,28.83333,-13.16667,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/1-EBC,28.83333,-13.16667,100,>125,150,Yes,No,8.32,2.2161110133951157e-4,5.858666666666666e-4,0.3939393939393939
"Rebotim et al., 2017",M42/1-EBC,28.83333,-13.16667,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/1-EBC,28.83333,-13.16667,100,>125,150,Yes,Yes,8.920000000000002,2.3759267114764946e-4,6.281166666666668e-4,0.4223484848484849
"Rebotim et al., 2017",M42/1-ESTOC,29.16667,-15.5,100,>125,150,No,No,0.6,1.5981569808137853e-5,4.225e-5,0.07537688442211055
"Rebotim et al., 2017",M42/1-ESTOC,29.16667,-15.5,100,>125,150,No,Yes,1.44,3.835576753953085e-5,1.014e-4,0.1809045226130653
"Rebotim et al., 2017",M42/1-ESTOC,29.16667,-15.5,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/1-ESTOC,29.16667,-15.5,100,>125,150,Yes,No,0.6,1.5981569808137853e-5,4.225e-5,0.07537688442211055
"Rebotim et al., 2017",M42/1-ESTOC,29.16667,-15.5,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/1-ESTOC,29.16667,-15.5,100,>125,150,Yes,Yes,5.32,1.4170325229882232e-4,3.746166666666667e-4,0.6683417085427136
"Rebotim et al., 2017",M42/1-LaPalma,29.66667,-17.83333,100,>125,150,No,No,1,2.6635949680229755e-5,7.041666666666667e-5,0.2840909090909091
"Rebotim et al., 2017",M42/1-LaPalma,29.66667,-17.83333,100,>125,150,No,Yes,0.44,1.1719817859301092e-5,3.098333333333333e-5,0.125
"Rebotim et al., 2017",M42/1-LaPalma,29.66667,-17.83333,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/1-LaPalma,29.66667,-17.83333,100,>125,150,Yes,No,0,0,0,0
"Rebotim et al., 2017",M42/1-LaPalma,29.66667,-17.83333,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/1-LaPalma,29.66667,-17.83333,100,>125,150,Yes,Yes,2.08,5.5402775334877893e-5,1.4646666666666666e-4,0.5909090909090909
"Rebotim et al., 2017",M42/3_MSN1359,35.997,-28.93,100,>100,100,No,No,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1359,35.997,-28.93,100,>100,100,No,Yes,14.400000000000002,3.8355767539530856e-4,0.0010140000000000001,0.17021276595744683
"Rebotim et al., 2017",M42/3_MSN1359,35.997,-28.93,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1359,35.997,-28.93,100,>100,100,Yes,No,12.200000000000001,3.2495858609880304e-4,8.590833333333334e-4,0.14420803782505912
"Rebotim et al., 2017",M42/3_MSN1359,35.997,-28.93,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1359,35.997,-28.93,100,>100,100,Yes,Yes,58,0.0015448850814533258,0.0040841666666666665,0.6855791962174942
"Rebotim et al., 2017",M42/3_MSN1362,34.93,-29.17,100,>100,100,No,No,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1362,34.93,-29.17,100,>100,100,No,Yes,16,4.261751948836761e-4,0.0011266666666666667,0.2
"Rebotim et al., 2017",M42/3_MSN1362,34.93,-29.17,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1362,34.93,-29.17,100,>100,100,Yes,No,3.5999999999999996,9.588941884882711e-5,2.535e-4,0.045
"Rebotim et al., 2017",M42/3_MSN1362,34.93,-29.17,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1362,34.93,-29.17,100,>100,100,Yes,Yes,60.4,0.0016088113606858771,0.004253166666666666,0.755
"Rebotim et al., 2017",M42/3_MSN1364,35.02,-30.8,100,>100,100,No,No,5.8,1.5448850814533258e-4,4.0841666666666663e-4,0.10622710622710624
"Rebotim et al., 2017",M42/3_MSN1364,35.02,-30.8,100,>100,100,No,Yes,10.8,2.8766825654648136e-4,7.605e-4,0.19780219780219785
"Rebotim et al., 2017",M42/3_MSN1364,35.02,-30.8,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1364,35.02,-30.8,100,>100,100,Yes,No,3.2,8.523503897673522e-5,2.2533333333333335e-4,0.058608058608058615
"Rebotim et al., 2017",M42/3_MSN1364,35.02,-30.8,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1364,35.02,-30.8,100,>100,100,Yes,Yes,34.8,9.269310488719954e-4,0.0024505,0.6373626373626374
"Rebotim et al., 2017",M42/3_MSN1366,32.65,-30.58,100,>100,100,No,No,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1366,32.65,-30.58,100,>100,100,No,Yes,4.6,1.2252536852905686e-4,3.2391666666666663e-4,0.22999999999999998
"Rebotim et al., 2017",M42/3_MSN1366,32.65,-30.58,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1366,32.65,-30.58,100,>100,100,Yes,No,1.2,3.1963139616275706e-5,8.45e-5,0.06
"Rebotim et al., 2017",M42/3_MSN1366,32.65,-30.58,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1366,32.65,-30.58,100,>100,100,Yes,Yes,14.200000000000001,3.7823048545926254e-4,9.999166666666667e-4,0.7100000000000001
"Rebotim et al., 2017",M42/3_MSN1368,32.1,-32.67,100,>100,100,No,No,0.4,1.0654379872091902e-5,2.816666666666667e-5,0.06060606060606061
"Rebotim et al., 2017",M42/3_MSN1368,32.1,-32.67,100,>100,100,No,Yes,1,2.6635949680229755e-5,7.041666666666667e-5,0.1515151515151515
"Rebotim et al., 2017",M42/3_MSN1368,32.1,-32.67,100,>100,100,Undetermined,Undetermined,0.8,2.1308759744183804e-5,5.633333333333334e-5,0.12121212121212122
"Rebotim et al., 2017",M42/3_MSN1368,32.1,-32.67,100,>100,100,Yes,No,2,5.327189936045951e-5,1.4083333333333333e-4,0.303030303030303
"Rebotim et al., 2017",M42/3_MSN1368,32.1,-32.67,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",M42/3_MSN1368,32.1,-32.67,100,>100,100,Yes,Yes,2.4000000000000004,6.392627923255143e-5,1.6900000000000002e-4,0.36363636363636365
"Rebotim et al., 2017",POS212/1-EBC,28.83333,-13.16667,100,>125,150,No,No,0,0,0,0
"Rebotim et al., 2017",POS212/1-EBC,28.83333,-13.16667,100,>125,150,No,Yes,9.2,2.4505073705811373e-4,6.478333333333333e-4,0.16487455197132617
"Rebotim et al., 2017",POS212/1-EBC,28.83333,-13.16667,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS212/1-EBC,28.83333,-13.16667,100,>125,150,Yes,No,22.76,6.062342147220293e-4,0.0016026833333333335,0.40788530465949824
"Rebotim et al., 2017",POS212/1-EBC,28.83333,-13.16667,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS212/1-EBC,28.83333,-13.16667,100,>125,150,Yes,Yes,23.84,6.350010403766773e-4,0.0016787333333333333,0.42724014336917565
"Rebotim et al., 2017",POS212/1-ESTOC,29.16667,-15.5,100,>125,150,No,No,0,0,0,0
"Rebotim et al., 2017",POS212/1-ESTOC,29.16667,-15.5,100,>125,150,No,Yes,0,0,0,0
"Rebotim et al., 2017",POS212/1-ESTOC,29.16667,-15.5,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS212/1-ESTOC,29.16667,-15.5,100,>125,150,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS212/1-ESTOC,29.16667,-15.5,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS212/1-ESTOC,29.16667,-15.5,100,>125,150,Yes,Yes,8.52,2.269382912755575e-4,5.999499999999999e-4,1
"Rebotim et al., 2017",POS212/1-LaPalma,29.66667,-17.83333,100,>125,150,No,No,0,0,0,0
"Rebotim et al., 2017",POS212/1-LaPalma,29.66667,-17.83333,100,>125,150,No,Yes,4.08,1.086746746953374e-4,2.873e-4,0.43776824034334766
"Rebotim et al., 2017",POS212/1-LaPalma,29.66667,-17.83333,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS212/1-LaPalma,29.66667,-17.83333,100,>125,150,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS212/1-LaPalma,29.66667,-17.83333,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS212/1-LaPalma,29.66667,-17.83333,100,>125,150,Yes,Yes,5.24,1.3957237632440393e-4,3.6898333333333335e-4,0.5622317596566524
"Rebotim et al., 2017",POS237/3-EBC,28.83333,-13.16667,100,>125,150,No,No,0.35999999999999993,9.58894188488271e-6,2.5349999999999996e-5,0.2903225806451613
"Rebotim et al., 2017",POS237/3-EBC,28.83333,-13.16667,100,>125,150,No,Yes,0,0,0,0
"Rebotim et al., 2017",POS237/3-EBC,28.83333,-13.16667,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS237/3-EBC,28.83333,-13.16667,100,>125,150,Yes,No,0.15999999999999998,4.26175194883676e-6,1.1266666666666665e-5,0.12903225806451613
"Rebotim et al., 2017",POS237/3-EBC,28.83333,-13.16667,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS237/3-EBC,28.83333,-13.16667,100,>125,150,Yes,Yes,0.72,1.9177883769765424e-5,5.07e-5,0.5806451612903226
"Rebotim et al., 2017",POS237/3-ESTOC,29.16667,-15.5,100,>125,150,No,No,0.88,2.3439635718602184e-5,6.196666666666666e-5,0.13414634146341464
"Rebotim et al., 2017",POS237/3-ESTOC,29.16667,-15.5,100,>125,150,No,Yes,0,0,0,0
"Rebotim et al., 2017",POS237/3-ESTOC,29.16667,-15.5,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS237/3-ESTOC,29.16667,-15.5,100,>125,150,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS237/3-ESTOC,29.16667,-15.5,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS237/3-ESTOC,29.16667,-15.5,100,>125,150,Yes,Yes,5.68,1.51292194183705e-4,3.9996666666666667e-4,0.8658536585365854
"Rebotim et al., 2017",POS237/3-LaPalma,29.66667,-17.83333,100,>125,150,No,No,1.4,3.7290329552321654e-5,9.858333333333332e-5,0.24305555555555555
"Rebotim et al., 2017",POS237/3-LaPalma,29.66667,-17.83333,100,>125,150,No,Yes,0,0,0,0
"Rebotim et al., 2017",POS237/3-LaPalma,29.66667,-17.83333,100,>125,150,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS237/3-LaPalma,29.66667,-17.83333,100,>125,150,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS237/3-LaPalma,29.66667,-17.83333,100,>125,150,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS237/3-LaPalma,29.66667,-17.83333,100,>125,150,Yes,Yes,4.359999999999999,1.1613274060580172e-4,3.070166666666666e-4,0.7569444444444444
"Rebotim et al., 2017",POS247/2_MSN1371,35.002,-29.204,100,>100,100,No,No,27.6,7.351522111743412e-4,0.0019435000000000001,0.7540983606557378
"Rebotim et al., 2017",POS247/2_MSN1371,35.002,-29.204,100,>100,100,No,Yes,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1371,35.002,-29.204,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1371,35.002,-29.204,100,>100,100,Yes,No,4.2,1.1187098865696498e-4,2.9575e-4,0.11475409836065574
"Rebotim et al., 2017",POS247/2_MSN1371,35.002,-29.204,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1371,35.002,-29.204,100,>100,100,Yes,Yes,4.800000000000001,1.2785255846510285e-4,3.3800000000000003e-4,0.13114754098360656
"Rebotim et al., 2017",POS247/2_MSN1374,35,-31.001,100,>100,100,No,No,177.8,0.004735871853144851,0.012520083333333334,0.7867256637168142
"Rebotim et al., 2017",POS247/2_MSN1374,35,-31.001,100,>100,100,No,Yes,16.4,4.3682957475576795e-4,0.0011548333333333332,0.07256637168141593
"Rebotim et al., 2017",POS247/2_MSN1374,35,-31.001,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1374,35,-31.001,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1374,35,-31.001,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1374,35,-31.001,100,>100,100,Yes,Yes,31.799999999999997,8.470231998313061e-4,0.00223925,0.1407079646017699
"Rebotim et al., 2017",POS247/2_MSN1377,32.103,-31.654,100,>100,100,No,No,104.8,0.0027914475264880782,0.007379666666666666,0.7485714285714286
"Rebotim et al., 2017",POS247/2_MSN1377,32.103,-31.654,100,>100,100,No,Yes,11.400000000000002,3.0364982635461925e-4,8.027500000000002e-4,0.08142857142857145
"Rebotim et al., 2017",POS247/2_MSN1377,32.103,-31.654,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1377,32.103,-31.654,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1377,32.103,-31.654,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1377,32.103,-31.654,100,>100,100,Yes,Yes,23.799999999999997,6.339356023894681e-4,0.0016759166666666665,0.16999999999999998
"Rebotim et al., 2017",POS247/2_MSN1380,32.669,-30.553,100,>100,100,No,No,107.6,0.0028660281855927214,0.007576833333333333,0.8892561983471073
"Rebotim et al., 2017",POS247/2_MSN1380,32.669,-30.553,100,>100,100,No,Yes,9.4,2.503779269941597e-4,6.619166666666667e-4,0.07768595041322314
"Rebotim et al., 2017",POS247/2_MSN1380,32.669,-30.553,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1380,32.669,-30.553,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1380,32.669,-30.553,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1380,32.669,-30.553,100,>100,100,Yes,Yes,4,1.0654379872091902e-4,2.8166666666666666e-4,0.03305785123966942
"Rebotim et al., 2017",POS247/2_MSN1383,33.582,-26.167,100,>100,100,No,No,193.8,0.005162047048028527,0.013646750000000001,0.8590425531914895
"Rebotim et al., 2017",POS247/2_MSN1383,33.582,-26.167,100,>100,100,No,Yes,18.2,4.8477428418018155e-4,0.0012815833333333334,0.08067375886524823
"Rebotim et al., 2017",POS247/2_MSN1383,33.582,-26.167,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1383,33.582,-26.167,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1383,33.582,-26.167,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1383,33.582,-26.167,100,>100,100,Yes,Yes,13.6,3.6224891565112466e-4,9.576666666666667e-4,0.06028368794326241
"Rebotim et al., 2017",POS247/2_MSN1386,35.833,-20.501,100,>100,100,No,No,116.2,0.0030950973528426975,0.008182416666666666,0.6227224008574491
"Rebotim et al., 2017",POS247/2_MSN1386,35.833,-20.501,100,>100,100,No,Yes,25,6.658987420057439e-4,0.0017604166666666666,0.1339764201500536
"Rebotim et al., 2017",POS247/2_MSN1386,35.833,-20.501,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1386,35.833,-20.501,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1386,35.833,-20.501,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1386,35.833,-20.501,100,>100,100,Yes,Yes,45.4,0.0012092721154824309,0.0031969166666666665,0.2433011789924973
"Rebotim et al., 2017",POS247/2_MSN1389,33.083,-21.999,100,>100,100,No,No,40.8,0.001086746746953374,0.0028729999999999997,0.6938775510204082
"Rebotim et al., 2017",POS247/2_MSN1389,33.083,-21.999,100,>100,100,No,Yes,8.2,2.1841478737788398e-4,5.774166666666666e-4,0.13945578231292516
"Rebotim et al., 2017",POS247/2_MSN1389,33.083,-21.999,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1389,33.083,-21.999,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1389,33.083,-21.999,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS247/2_MSN1389,33.083,-21.999,100,>100,100,Yes,Yes,9.8,2.610323068662516e-4,6.900833333333333e-4,0.16666666666666669
"Rebotim et al., 2017",POS334_67-3,33.01028,-20.01083,100,>100,100,No,No,6.8,1.8112445782556233e-4,4.7883333333333334e-4,0.11258278145695366
"Rebotim et al., 2017",POS334_67-3,33.01028,-20.01083,100,>100,100,No,Yes,7,1.864516477616083e-4,4.929166666666667e-4,0.11589403973509936
"Rebotim et al., 2017",POS334_67-3,33.01028,-20.01083,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS334_67-3,33.01028,-20.01083,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS334_67-3,33.01028,-20.01083,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS334_67-3,33.01028,-20.01083,100,>100,100,Yes,Yes,46.599999999999994,0.0012412352550987065,0.0032814166666666664,0.7715231788079471
"Rebotim et al., 2017",POS334_72-3,36.02528,-8.50306,100,>100,100,No,No,16,4.261751948836761e-4,0.0011266666666666667,0.5659709939865581
"Rebotim et al., 2017",POS334_72-3,36.02528,-8.50306,100,>100,100,No,Yes,5.87,1.5635302462294867e-4,4.1334583333333335e-4,0.20764060841881854
"Rebotim et al., 2017",POS334_72-3,36.02528,-8.50306,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS334_72-3,36.02528,-8.50306,100,>100,100,Yes,No,3,7.990784904068927e-5,2.1125e-4,0.10611956137247966
"Rebotim et al., 2017",POS334_72-3,36.02528,-8.50306,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS334_72-3,36.02528,-8.50306,100,>100,100,Yes,Yes,3.4,9.056222891278116e-5,2.3941666666666667e-4,0.12026883622214361
"Rebotim et al., 2017",POS377_696-2,31,-22,100,>100,100,No,No,1.52,4.0486643513949225e-5,1.0703333333333334e-4,0.15510204081632653
"Rebotim et al., 2017",POS377_696-2,31,-22,100,>100,100,No,Yes,3.9600000000000004,1.0547836073370984e-4,2.7885000000000003e-4,0.40408163265306124
"Rebotim et al., 2017",POS377_696-2,31,-22,100,>100,100,Undetermined,Undetermined,0.39999999999999997,1.06543798720919e-5,2.8166666666666666e-5,0.04081632653061224
"Rebotim et al., 2017",POS377_696-2,31,-22,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS377_696-2,31,-22,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS377_696-2,31,-22,100,>100,100,Yes,Yes,3.92,1.0441292274650064e-4,2.7603333333333334e-4,0.39999999999999997
"Rebotim et al., 2017",POS377_704-2,35,-22,100,>100,100,No,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.4347826086956521
"Rebotim et al., 2017",POS377_704-2,35,-22,100,>100,100,No,Yes,2.72,7.244978313022494e-5,1.9153333333333334e-4,0.2956521739130435
"Rebotim et al., 2017",POS377_704-2,35,-22,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS377_704-2,35,-22,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS377_704-2,35,-22,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS377_704-2,35,-22,100,>100,100,Yes,Yes,2.48,6.605715520696979e-5,1.7463333333333334e-4,0.2695652173913043
"Rebotim et al., 2017",POS383_161-1,36,-22,100,>100,100,No,No,3.12,8.310416300231684e-5,2.197e-4,0.21081081081081082
"Rebotim et al., 2017",POS383_161-1,36,-22,100,>100,100,No,Yes,7.279999999999999,0.00019390971367207261,5.126333333333332e-4,0.49189189189189186
"Rebotim et al., 2017",POS383_161-1,36,-22,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_161-1,36,-22,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS383_161-1,36,-22,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_161-1,36,-22,100,>100,100,Yes,Yes,4.4,1.1719817859301093e-4,3.0983333333333335e-4,0.29729729729729737
"Rebotim et al., 2017",POS383_163-2,35,-22,100,>100,100,No,No,2.04,5.43373373476687e-5,1.4365e-4,0.19844357976653695
"Rebotim et al., 2017",POS383_163-2,35,-22,100,>100,100,No,Yes,4.96,1.3211431041393958e-4,3.492666666666667e-4,0.4824902723735408
"Rebotim et al., 2017",POS383_163-2,35,-22,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_163-2,35,-22,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS383_163-2,35,-22,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_163-2,35,-22,100,>100,100,Yes,Yes,3.2800000000000002,8.73659149511536e-5,2.3096666666666668e-4,0.31906614785992216
"Rebotim et al., 2017",POS383_165-2,34,-22,100,>100,100,No,No,1.52,4.0486643513949225e-5,1.0703333333333334e-4,0.2076502732240437
"Rebotim et al., 2017",POS383_165-2,34,-22,100,>100,100,No,Yes,4.36,1.1613274060580173e-4,3.070166666666667e-4,0.5956284153005464
"Rebotim et al., 2017",POS383_165-2,34,-22,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_165-2,34,-22,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS383_165-2,34,-22,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_165-2,34,-22,100,>100,100,Yes,Yes,1.44,3.835576753953085e-5,1.014e-4,0.19672131147540983
"Rebotim et al., 2017",POS383_173-2,32,-21,100,>100,100,No,No,1.56,4.155208150115842e-5,1.0985e-4,0.08764044943820223
"Rebotim et al., 2017",POS383_173-2,32,-21,100,>100,100,No,Yes,5.120000000000001,1.3637606236277638e-4,3.605333333333334e-4,0.2876404494382022
"Rebotim et al., 2017",POS383_173-2,32,-21,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_173-2,32,-21,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS383_173-2,32,-21,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_173-2,32,-21,100,>100,100,Yes,Yes,11.120000000000001,2.961917604441549e-4,7.830333333333334e-4,0.6247191011235954
"Rebotim et al., 2017",POS383_175-2,33.15,-22,100,>100,100,No,No,2.04,5.43373373476687e-5,1.4365e-4,0.1711409395973154
"Rebotim et al., 2017",POS383_175-2,33.15,-22,100,>100,100,No,Yes,6.76,1.8005901983835315e-4,4.7601666666666665e-4,0.5671140939597314
"Rebotim et al., 2017",POS383_175-2,33.15,-22,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_175-2,33.15,-22,100,>100,100,Yes,No,0,0,0,0
"Rebotim et al., 2017",POS383_175-2,33.15,-22,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS383_175-2,33.15,-22,100,>100,100,Yes,Yes,3.12,8.310416300231684e-5,2.197e-4,0.261744966442953
"Rebotim et al., 2017",POS384_210-1,34.6,-13.29,100,>100,100,No,No,0.12000000000000001,3.196313961627571e-6,8.45e-6,0.043478260869565216
"Rebotim et al., 2017",POS384_210-1,34.6,-13.29,100,>100,100,No,Yes,1.12,2.983226364185733e-5,7.886666666666667e-5,0.4057971014492754
"Rebotim et al., 2017",POS384_210-1,34.6,-13.29,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",POS384_210-1,34.6,-13.29,100,>100,100,Yes,No,0,0,0,0
